cab_type,destination,source,id,product_id,name,distance,time_stamp,price,surge_multiplier
Uber,West End,North End,009e9c53-074d-43cf-aef2-0fbc7a47ed3d,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,1.11,1543615981179,12.0,1.0
Uber,West End,North End,23f145da-f0c1-4d1f-a184-496bc003a7db,6c84fd89-3f11-4782-9b50-97c468b19529,Black,1.11,1544698211014,16.0,1.0
Uber,West End,North End,357559cb-8c58-4278-a41a-e33b2e0997a3,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,1.11,1544728503935,7.5,1.0
Uber,West End,North End,50ef1165-9d23-416c-a65c-18906207b295,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,1.11,1545004511430,7.5,1.0
Uber,West End,North End,91c4861c-1780-42b0-bca1-bbd64a422cc3,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,1.11,1544748007961,26.0,1.0
Uber,West End,North End,e219e545-a006-4936-a6cc-7d00adf0e418,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,1.11,1543519080802,5.5,1.0
Uber,West End,North End,fa5fb705-03a0-4eb9-82d9-7fe80872f754,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,1.11,1543673584211,,1.0
Uber,South Station,Beacon Hill,1d451059-895c-4179-8cec-40adfbc4f6d3,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2.48,1545079209832,8.5,1.0
Uber,South Station,Beacon Hill,1f64fcff-b01f-4b64-90f4-5c866d717317,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2.48,1544931613778,15.0,1.0
Uber,South Station,Beacon Hill,2ca4699c-21e1-4fb4-9cc2-1d6221199d08,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2.48,1543324882052,20.5,1.0
Uber,South Station,Beacon Hill,4149295f-4534-4712-b2cf-160308528c75,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2.48,1544697611531,8.5,1.0
Uber,South Station,Beacon Hill,80d2a972-2686-4edc-bc22-ddccdf211fde,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2.48,1545085512519,7.0,1.0
Uber,South Station,Beacon Hill,8674e79f-4c5b-4a2e-8327-a68997d5d740,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2.48,1544817908118,27.5,1.0
Uber,South Station,Beacon Hill,eee70d94-6706-4b95-a8ce-0e34f0fa8f37,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2.48,1543794776318,,1.0
Uber,Fenway,North Station,39f120bf-ddc0-4d27-8ab4-bb7d46ecf8e3,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2.94,1543638777654,29.5,1.0
Uber,Fenway,North Station,4d36b792-8973-4dd2-aaf9-aacaac046bd5,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2.94,1543414987719,9.5,1.0
Uber,Fenway,North Station,53bc8bc7-0b27-4648-9742-d7956d2a13a8,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2.94,1543739576844,15.0,1.0
Uber,Fenway,North Station,7f47ff53-7cf2-4a6a-8049-83c90e042593,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2.94,1543523885298,,1.0
Uber,Fenway,North Station,c05d4e09-3f00-43cf-a0d8-6f38c0f4d04a,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2.94,1544789105468,9.5,1.0
Uber,Fenway,North Station,c7d4bb19-3c35-46c7-ad3c-f00a03ccfdfe,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2.94,1543286002090,22.0,1.0
Uber,Fenway,North Station,d25c46f2-b8a3-454d-97d1-4e2c8e1dff68,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2.94,1544856310163,9.0,1.0
Uber,West End,North End,43abdbe4-ab9e-4f39-afdc-31cfa375dc25,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,1.16,1544731816318,,1.0
Uber,West End,North End,5e1deff9-8f75-4e77-a1b1-7f6749e4eed3,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,1.16,1544688606983,9.5,1.0
Uber,West End,North End,a6d2d9af-e412-4ec0-8206-88e272b5a14e,6c84fd89-3f11-4782-9b50-97c468b19529,Black,1.16,1543445408141,16.5,1.0
Uber,West End,North End,c53e48e4-a7b6-43e9-b4f4-afadc78dc2aa,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,1.16,1544859906968,7.0,1.0
Uber,West End,North End,c9dee6ef-eca0-43ba-9bf9-ec00a6638164,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,1.16,1543325422263,9.5,1.0
Uber,West End,North End,e209499c-d217-4ea8-b72a-8a879646b29a,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,1.16,1543428487883,27.5,1.0
Uber,West End,North End,fc3205bd-3419-40db-b00f-ddced9beff33,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,1.16,1543474677639,13.0,1.0
Uber,Beacon Hill,North End,26cd4b22-179f-48db-a03f-2cc8c87d624e,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2.67,1545130211033,9.5,1.0
Uber,Beacon Hill,North End,5ed9f6ab-4582-45c6-a1de-5602e911c3bb,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2.67,1543286541956,9.5,1.0
Uber,Beacon Hill,North End,80db1c49-9d51-4575-a4f4-1ec23b4d3e31,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2.67,1543583283653,,1.0
Uber,North Station,Boston University,0617e9b6-45f9-4f45-aa2b-5d06da008088,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,3.39,1543784280319,9.5,1.0
Uber,North Station,Boston University,37b99b0e-d2a9-4aa6-b145-54de1c8793eb,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,3.39,1544879104960,9.5,1.0
Uber,North Station,Boston University,433900c1-12d0-4771-85ea-1e1f1a4a6d63,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,3.39,1543478885039,17.0,1.0
Uber,North Station,Boston University,76ec209b-45a1-47e7-9eda-bc3a22402b8e,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,3.39,1543360883633,10.0,1.0
Uber,North Station,Boston University,a841f68a-a00f-456a-a3f2-2a4f2f2917d6,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,3.39,1545002712654,34.0,1.0
Uber,North Station,Boston University,aaf17c52-066b-4449-abac-274132b8ffbf,6c84fd89-3f11-4782-9b50-97c468b19529,Black,3.39,1544703016070,26.0,1.0
Uber,North Station,Boston University,c0bffbdc-9f15-4822-bda5-77d293a8d77e,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,3.39,1543775279908,,1.0
Uber,North Station,Boston University,2effa2c2-6728-4274-b904-199a9fc830c4,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,3.39,1545081006772,18.5,1.0
Uber,North Station,Boston University,5ef55ad4-49da-4698-8d41-21f89d107085,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,3.39,1543542780768,11.0,1.0
Uber,North Station,Boston University,67f791f9-5bf4-4490-9358-95ffda17e5ea,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,3.39,1543588980832,11.0,1.0
Uber,North Station,Boston University,6af89d7d-7c7e-45fe-98c4-3dc432bb29b4,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,3.39,1544684707241,,1.0
Uber,North Station,Boston University,806fc0cf-814d-48aa-abe7-47d0eedf47d4,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,3.39,1544832605200,11.0,1.0
Uber,North Station,Boston University,bcb04ae7-e199-495f-a22e-4f24dcf9088c,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,3.39,1543532587413,36.0,1.0
Uber,North Station,Boston University,ef16279b-5893-4ea1-bf62-0548a6a541e7,6c84fd89-3f11-4782-9b50-97c468b19529,Black,3.39,1545036611905,27.5,1.0
Uber,Back Bay,South Station,118a8165-c787-4761-89e5-a17aa5710c75,6c84fd89-3f11-4782-9b50-97c468b19529,Black,2.49,1544812509357,25.0,1.0
Uber,Back Bay,South Station,14fd1233-8cea-4061-a66a-9a5ecec07f66,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,2.49,1544952912418,12.0,1.0
Uber,Back Bay,South Station,2a98223c-db41-4d28-9f8a-f26775b12fd4,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,2.49,1545102903559,12.0,1.0
Uber,Back Bay,South Station,3a2929f1-2310-4c96-8eeb-ca2ed3ad9915,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,2.49,1543440907964,18.5,1.0
Uber,Back Bay,South Station,42dd31b8-d488-4de6-8dd1-544d6f943149,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,2.49,1543443967576,,1.0
Uber,Back Bay,South Station,c1463da2-43e9-4e83-a52f-eb4fbe9d85e6,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,2.49,1543321642195,32.5,1.0
Uber,Back Bay,South Station,e5face72-4e1e-499e-89db-6a136e11f7f5,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,2.49,1543860176100,11.0,1.0
Uber,North Station,Fenway,08a28a48-eec5-43f8-b81d-bc2f57fc7f9a,6c84fd89-3f11-4782-9b50-97c468b19529,Black,3.07,1543658284716,27.0,1.0
Uber,North Station,Fenway,1f384d44-39fa-4537-b6a9-e97c0420fc48,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,3.07,1543458860117,12.0,1.0
Uber,North Station,Fenway,408076ed-a826-4fb3-a602-f9940df0ae50,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,3.07,1543824176271,18.5,1.0
Uber,North Station,Fenway,4b22b1b6-5d22-476c-bcf9-571afb6b5a4b,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,3.07,1543336943649,,1.0
Uber,North Station,Fenway,6fad93ae-e127-4e63-92e8-aca70075a4ae,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,3.07,1543883878694,12.0,1.0
Uber,North Station,Fenway,c8e81408-c663-41b0-97d8-01de32dddefd,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,3.07,1545126008048,8.5,1.0
Uber,North Station,Fenway,f5f46cb2-dc51-4ed7-bd0e-14469d2da879,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,3.07,1544841003919,35.0,1.0
Uber,North End,Theatre District,8cfbdbf9-4aa0-453b-ae4e-2fd9b4a90ffa,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,1.57,1543243809625,8.0,1.0
Uber,North End,Theatre District,974fd7df-31d1-4f61-9aad-5c3b853a4368,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,1.57,1544711408474,,1.0
Uber,North End,Theatre District,a385d39d-6add-45e7-8144-d208173f5528,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,1.57,1544409662798,13.0,1.0
Uber,North End,Theatre District,a9448a0b-977b-47c4-b886-b9ff39e6983c,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,1.57,1543734183117,8.0,1.0
Uber,North End,Theatre District,ae1e0b34-e9aa-4d7f-9b5f-228d966cb911,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,1.57,1543873079177,27.0,1.0
Uber,North End,Theatre District,ca00c0ed-bc14-4558-af18-5be6001f14e2,6c84fd89-3f11-4782-9b50-97c468b19529,Black,1.57,1543805278271,17.0,1.0
Uber,North End,Theatre District,ff9d06a6-3ac8-4692-b154-1fd97fb0ac93,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,1.57,1544682006887,8.0,1.0
Uber,Northeastern University,West End,00dc269c-2990-402b-b834-9fe0cede0bae,997acbb5-e102-41e1-b155-9df7de0a73f2,UberPool,3.2,1543777077631,13.5,1.0
Uber,Northeastern University,West End,17fc2426-4a0c-4305-bc55-a2d4e08417da,6c84fd89-3f11-4782-9b50-97c468b19529,Black,3.2,1544730311763,23.5,1.0
Uber,Northeastern University,West End,68589ddd-984f-4cda-adce-b69ed39695d8,9a0e7b09-b92b-4c41-9779-2ad22b4d779d,WAV,3.2,1543655883575,14.0,1.0
Uber,Northeastern University,West End,95f75de8-f788-4d4e-991d-771c73720a4c,6d318bcc-22a3-4af6-bddd-b409bfce1546,Black SUV,3.2,1543508885573,34.0,1.0
Uber,Northeastern University,West End,b54ea4d2-96e6-4ac3-ae04-6f55d2199dec,6f72dfc5-27f1-42e8-84db-ccc7a75f6969,UberXL,3.2,1543437308356,26.5,1.0
Uber,Northeastern University,West End,b85bee69-de7b-443f-aff5-c98a1e48ebed,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,3.2,1545034211003,14.0,1.0
Uber,Northeastern University,West End,e36f3312-05fc-4ba0-8a33-84ddc108643b,8cf7e821-f0d3-49c6-8eba-e679c0ebcf6a,Taxi,3.2,1543281863593,,1.0
Uber,Back Bay,North End,174e8ad4-163e-4a6a-94e9-502df39fbc20,6c84fd89-3f11-4782-9b50-97c468b19529,Black,3.61,1544975706996,26.5,1.0
Uber,Back Bay,North End,2c692c6d-0b72-4987-bac5-7be5f0833267,55c66225-fbe7-4fd5-9072-eab1ece5e23e,UberX,3.61,1543796886448,12.0,1.0
